City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
24,Mahebourg,MU,68.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,New Norfolk,AU,47.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
26,Pisco,PE,62.02,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
27,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Bluff,NZ,45.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
29,Albany,US,56.05,overcast clouds,42.6001,-73.9662,
30,Mar Del Plata,AR,51.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
31,Hermanus,ZA,52.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
32,Lebu,CL,49.14,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
33,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
34,Roma,US,61.57,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
35,Mataura,NZ,45.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
37,San Juan,AR,61.21,clear sky,-31.5375,-68.5364,Hotel Provincial
38,Constitucion,CL,53.74,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
39,Bambous Virieux,MU,68.22,few clouds,-20.3428,57.7575,Casa Tia Villa
40,Timmins,CA,63.9,clear sky,48.4669,-81.3331,The Senator Hotel & Conference Centre
41,Port Alfred,ZA,61.45,light rain,-33.5906,26.891,The Halyards Hotel
43,Huarmey,PE,66.96,clear sky,-10.0681,-78.1522,Hotel Miramar
44,Khorinsk,RU,58.87,overcast clouds,52.1657,109.7726,Uda
45,Livingstonia,MW,57.54,clear sky,-10.606,34.1063,Stone House Guest House
46,Lavrentiya,RU,52.07,clear sky,65.5833,-171.0,
47,Tuatapere,NZ,46.76,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
48,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
49,Ndjole,GA,73.38,broken clouds,-0.1783,10.7649,Motel Kédyann
50,Norman Wells,CA,79.93,overcast clouds,65.282,-126.8329,Heritage Hotel
51,Severo-Kurilsk,RU,46.89,overcast clouds,50.6789,156.125,Kak Doma
52,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
53,Shimanovsk,RU,57.16,overcast clouds,52.0,127.7,Гостиница Домашняя
54,Katsuura,JP,69.53,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
55,Omboue,GA,72.64,broken clouds,-1.5746,9.2618,Hotel Olako
56,Slave Lake,CA,51.89,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
57,Padang,ID,77.05,scattered clouds,-0.9492,100.3543,Mercure Padang
58,Manjeshwar,IN,76.15,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
59,Hobart,AU,48.27,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
60,Ushtobe,KZ,68.27,clear sky,45.2514,77.9838,Filipin Squad
61,Busselton,AU,58.95,overcast clouds,-33.65,115.3333,Observatory Guest House
62,Kapaa,US,79.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Novobiryusinskiy,RU,52.65,clear sky,56.9578,97.7076,Gostinitsa
64,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
65,Port Elizabeth,ZA,57.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
