City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
132,Muravlenko,RU,63.7898,74.523,58.62,57,65,7.94,broken clouds
133,Narsaq,GL,60.9167,-46.05,55.62,79,100,2.95,overcast clouds
134,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,75,75,5.75,broken clouds
135,Zhukovka,RU,53.534,33.728,57.47,78,99,5.46,overcast clouds
136,Lourdes,FR,43.1,-0.05,71.08,83,0,11.5,clear sky
137,Dhidhdhoo,MV,6.8833,73.1,81.28,79,76,11.1,broken clouds
138,Victoria,HK,22.2855,114.1577,84.33,89,99,8.99,overcast clouds
139,Doha,QA,25.2867,51.5333,89.91,55,0,3.44,clear sky
140,Samarai,PG,-10.6167,150.6667,80.51,78,33,6.96,scattered clouds
141,Charters Towers,AU,-20.1,146.2667,51.19,62,0,8.66,clear sky
142,Sur,OM,22.5667,59.5289,84.88,76,0,14.29,clear sky
143,Svetlyy,RU,54.675,20.1347,61.97,88,20,11.83,few clouds
144,Pathein,MM,16.7833,94.7333,78.37,92,100,4.05,overcast clouds
145,Taperoa,BR,-7.2075,-36.8267,73.99,64,13,9.4,few clouds
146,Eureka,US,40.8021,-124.1637,66.67,67,1,7.0,clear sky
147,Tuktoyaktuk,CA,69.4541,-133.0374,40.59,82,87,9.04,overcast clouds
148,Salinopolis,BR,-0.6136,-47.3561,80.02,81,15,10.36,few clouds
149,Lazaro Cardenas,MX,17.9583,-102.2,84.81,62,100,11.61,overcast clouds
150,Sorsk,RU,54.0033,90.2467,50.14,91,100,6.29,overcast clouds
151,Fernandina Beach,US,30.6697,-81.4626,96.89,53,0,12.66,clear sky
152,Nabire,ID,-3.3667,135.4833,74.07,91,87,3.87,overcast clouds
153,Komsomolskiy,UZ,40.4272,71.7189,75.07,40,100,4.41,overcast clouds
154,Nome,US,64.5011,-165.4064,66.11,59,0,11.5,clear sky
155,Nikolskoye,RU,59.7035,30.7861,57.09,98,100,8.84,overcast clouds
156,Kavieng,PG,-2.5744,150.7967,82.08,71,67,10.49,broken clouds
157,Haines Junction,CA,60.7522,-137.5108,67.21,31,36,7.92,scattered clouds
158,Skibotn,NO,69.3913,20.2679,51.48,83,78,6.35,broken clouds
159,Port-Gentil,GA,-0.7193,8.7815,75.16,83,20,6.91,few clouds
160,Sambava,MG,-14.2667,50.1667,70.21,91,38,7.49,light rain
161,Saurimo,AO,-9.6608,20.3916,61.21,39,47,5.19,scattered clouds
162,Tura,IN,25.5198,90.2201,72.23,98,95,6.6,moderate rain
163,Road Town,VG,18.4167,-64.6167,84.29,70,20,6.91,few clouds
